seed,regime,i,j,opponent,match_seed,score_per_turn,opponent_score_per_turn,cooperation,opponent_cooperation,mutual_cooperation,mean_cooperation,mean_payoff
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037216,1.75,1.0,0.05,0.2,0.0,0.125,1.375
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037218,1.525,0.9625,0.025,0.1375,0.0,0.08125,1.24375
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037220,1.45,1.1375,0.075,0.1375,0.025,0.10625000000000001,1.29375
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037222,1.6125,1.2375,0.1125,0.1875,0.025,0.15,1.425
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037224,1.575,1.2625,0.1125,0.175,0.0125,0.14375,1.41875
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037226,1.375,1.25,0.1125,0.1375,0.0625,0.125,1.3125
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037228,1.6625,0.9125,0.025,0.175,0.0125,0.09999999999999999,1.2875
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037230,1.5125,1.1375,0.075,0.15,0.0125,0.11249999999999999,1.325
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037232,1.475,1.225,0.1,0.15,0.025,0.125,1.35
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037234,1.5,1.1875,0.0875,0.15,0.0125,0.11875,1.34375
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037236,1.8625,0.8625,0.025,0.225,0.0125,0.125,1.3625
2,mixed,15,19,"Memory-1(0.6971281889045775, 0.13201385119635958, 0.018497391922686082, 0.0, 0.13995879972543004)",3000200037238,1.45,1.2,0.0875,0.1375,0.0125,0.1125,1.325
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030400,1.2625,1.3875,0.125,0.1,0.0125,0.1125,1.325
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030402,1.0375,1.4125,0.125,0.05,0.0375,0.0875,1.225
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030404,1.3375,1.3375,0.1125,0.1125,0.0,0.1125,1.3375
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030406,1.2,1.075,0.0375,0.0625,0.0125,0.05,1.1375
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030408,1.075,1.45,0.125,0.05,0.0,0.0875,1.2625
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030410,1.175,1.2375,0.075,0.0625,0.0,0.06875,1.20625
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030412,1.2375,1.2375,0.0875,0.0875,0.025,0.0875,1.2375
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030414,1.275,1.275,0.1,0.1,0.025,0.1,1.275
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030416,0.925,1.425,0.1125,0.0125,0.0125,0.0625,1.175
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030418,1.175,1.2375,0.075,0.0625,0.0,0.06875,1.20625
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030420,1.175,1.2375,0.075,0.0625,0.0,0.06875,1.20625
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030422,1.2875,1.6,0.1875,0.125,0.025,0.15625,1.44375
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030424,1.225,1.4125,0.125,0.0875,0.0,0.10625,1.31875
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030426,1.3,1.1125,0.05,0.0875,0.0,0.06875,1.20625
2,mixed,16,17,"Memory-1(0.4122714927552284, 0.13757674711838142, 0.11405523562983683, 0.1111922634679681, 0.014588607886643226)",3000200030428,1.125,1.1875,0.0625,0.05,0.0125,0.05625,1.15625
